RELEASE,FILENAME,SIZE,LOC_added,MAX_LOC_Added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
1,src/java/org/apache/avro/AvroRuntimeException.java,24,48,24,16,24,24,8,3,1,157,52,52,No
1,src/java/org/apache/avro/AvroTypeException.java,25,56,28,14,25,28,6,4,1,182,25,25,No
1,src/java/org/apache/avro/Protocol.java,339,726,300,55,339,300,26,13,1,257,2,2,Yes
1,src/java/org/apache/avro/Schema.java,725,1412,451,88,725,451,45,16,1,265,2,2,Yes
1,src/java/org/apache/avro/SchemaParseException.java,24,48,24,16,24,24,8,3,1,157,52,52,No
1,src/java/org/apache/avro/file/DataFileReader.java,218,446,208,74,218,208,36,6,1,223,23,23,No
1,src/java/org/apache/avro/file/DataFileWriter.java,193,389,183,64,193,183,32,6,1,223,23,23,Yes
1,src/java/org/apache/avro/file/SeekableFileInput.java,32,64,32,21,32,32,10,3,1,157,52,52,No
1,src/java/org/apache/avro/file/SeekableInput.java,36,72,36,24,36,36,12,3,1,157,52,52,No
1,src/java/org/apache/avro/generic/GenericArray.java,36,74,37,18,36,37,9,4,1,182,25,25,No
1,src/java/org/apache/avro/generic/GenericData.java,279,549,250,54,279,250,27,10,1,259,25,25,No
1,src/java/org/apache/avro/generic/GenericDatumReader.java,462,1105,265,73,462,265,30,15,1,283,1,1,Yes
1,src/java/org/apache/avro/generic/GenericDatumWriter.java,253,479,164,53,253,164,28,9,1,255,23,23,Yes
1,src/java/org/apache/avro/generic/GenericFixed.java,24,24,24,24,24,24,24,1,1,15,15,15,No
1,src/java/org/apache/avro/generic/GenericRecord.java,28,56,28,18,28,28,9,3,1,157,52,52,No
1,src/java/org/apache/avro/generic/GenericRequestor.java,57,129,57,21,57,57,9,6,1,224,23,23,No
1,src/java/org/apache/avro/generic/GenericResponder.java,54,121,53,24,54,53,10,5,1,199,23,23,No
1,src/java/org/apache/avro/io/BinaryDecoder.java,300,305,305,152,300,305,150,2,1,37,14,14,Yes
1,src/java/org/apache/avro/io/BinaryEncoder.java,250,266,266,133,250,266,125,2,1,37,14,14,No
1,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,622,0,0,0,0,0,0,0,0,0,0,0,No
1,src/java/org/apache/avro/io/DatumReader.java,38,81,39,16,38,39,7,5,1,205,23,23,No
1,src/java/org/apache/avro/io/DatumWriter.java,35,75,36,15,35,36,7,5,1,205,23,23,No
1,src/java/org/apache/avro/io/Decoder.java,287,289,279,144,287,279,143,2,1,37,14,14,Yes
1,src/java/org/apache/avro/io/Encoder.java,275,278,269,139,275,269,137,2,1,37,14,14,No
1,src/java/org/apache/avro/io/ParsingTable.java,383,383,383,383,383,383,383,1,1,14,14,14,No
1,src/java/org/apache/avro/io/ResolvingDecoder.java,223,223,223,223,223,223,223,1,1,14,14,14,No
