Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,1,1.81,20,21.43,Random Forest,No,No,No,1,0,77,20,1,0.05,0.77,0.07
AVRO,1,1.81,20,21.43,Random Forest,No,No,Sensitive Threshold,16,26,51,5,0.38,0.76,0.71,0.31
AVRO,1,1.81,20,21.43,Random Forest,No,No,Sensitive Learning,9,11,66,12,0.45,0.43,0.73,0.29
AVRO,1,1.81,20,21.43,Random Forest,No,oversampling,No,4,5,72,17,0.44,0.19,0.69,0.16
AVRO,1,1.81,20,21.43,Random Forest,No,oversampling,Sensitive Threshold,21,73,4,0,0.22,1,0.53,0.02
AVRO,1,1.81,20,21.43,Random Forest,No,oversampling,Sensitive Learning,9,17,60,12,0.35,0.43,0.69,0.19
AVRO,1,1.81,20,21.43,Random Forest,No,undersampling,No,7,7,70,14,0.5,0.33,0.7,0.28
AVRO,1,1.81,20,21.43,Random Forest,No,undersampling,Sensitive Threshold,19,70,7,2,0.21,0.9,0.5,-0
AVRO,1,1.81,20,21.43,Random Forest,No,undersampling,Sensitive Learning,0,0,77,21,NaN,0,0.52,0
AVRO,1,1.81,20,21.43,Random Forest,No,SMOTE,No,1,0,77,20,1,0.05,0.79,0.07
AVRO,1,1.81,20,21.43,Random Forest,No,SMOTE,Sensitive Threshold,18,33,44,3,0.35,0.86,0.71,0.28
AVRO,1,1.81,20,21.43,Random Forest,No,SMOTE,Sensitive Learning,10,10,67,11,0.5,0.48,0.76,0.35
AVRO,1,1.81,20,21.43,Random Forest,Best first,No,No,8,6,71,13,0.57,0.38,0.78,0.34
AVRO,1,1.81,20,21.43,Random Forest,Best first,No,Sensitive Threshold,17,26,51,4,0.4,0.81,0.74,0.34
AVRO,1,1.81,20,21.43,Random Forest,Best first,No,Sensitive Learning,17,28,49,4,0.38,0.81,0.8,0.31
AVRO,1,1.81,20,21.43,Random Forest,Best first,oversampling,No,7,12,65,14,0.37,0.33,0.65,0.18
AVRO,1,1.81,20,21.43,Random Forest,Best first,oversampling,Sensitive Threshold,21,76,1,0,0.22,1,0.51,0.01
AVRO,1,1.81,20,21.43,Random Forest,Best first,oversampling,Sensitive Learning,13,25,52,8,0.34,0.62,0.65,0.23
AVRO,1,1.81,20,21.43,Random Forest,Best first,undersampling,No,17,24,53,4,0.41,0.81,0.78,0.37
