Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,No,No,9,3,228,63,0.75,0.12,0.96,0.16
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,No,Sensitive Threshold,72,200,31,0,0.26,1,0.57,0.07
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,No,Sensitive Learning,72,131,100,0,0.35,1,0.85,0.27
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,oversampling,No,8,37,194,64,0.18,0.11,0.67,-0.06
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,oversampling,Sensitive Threshold,72,187,44,0,0.28,1,0.6,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,oversampling,Sensitive Learning,41,14,217,31,0.75,0.57,0.89,0.55
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,undersampling,No,11,12,219,61,0.48,0.15,0.91,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,undersampling,Sensitive Threshold,72,219,12,0,0.25,1,0.53,0.03
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,undersampling,Sensitive Learning,13,21,210,59,0.38,0.18,0.74,0.11
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,SMOTE,No,39,5,226,33,0.89,0.54,0.97,0.6
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,SMOTE,Sensitive Threshold,72,195,36,0,0.27,1,0.58,0.08
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,SMOTE,Sensitive Learning,72,187,44,0,0.28,1,0.59,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,No,No,63,0,231,9,1,0.88,0.99,0.91
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,No,Sensitive Threshold,72,222,9,0,0.24,1,0.52,0.02
